                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 2.2367,                 1.0856,                0.97991,                0.74423,                0.63636,                0.64313,                0.21587,                 2.3425,                 1.4628,                 1.0221,              0.0008714,              0.0008714,              0.0008714
                     60,                 2.1274,                 1.0625,                0.97511,                0.76062,                0.65152,                 0.6429,                0.22099,                 2.3321,                 1.4315,                 1.0196,              0.0008516,              0.0008516,              0.0008516
                     61,                 2.1892,                  1.045,                 1.0452,                0.76045,                0.67339,                0.65581,                 0.2217,                 2.3554,                 1.4293,                 1.0281,              0.0008318,              0.0008318,              0.0008318
                     62,                 2.1456,                 1.1091,                0.95852,                0.72217,                0.67172,                0.65243,                0.20799,                 2.3979,                 1.4593,                 1.0405,               0.000812,               0.000812,               0.000812
                     63,                 2.1574,                 1.0852,                 1.0139,                0.68357,                0.65657,                0.63883,                0.19814,                 2.4293,                  1.469,                 1.0457,              0.0007922,              0.0007922,              0.0007922
                     64,                 2.1373,                 1.0322,                0.95667,                 0.6826,                0.62999,                0.62546,                0.19904,                 2.4253,                 1.4729,                 1.0414,              0.0007724,              0.0007724,              0.0007724
                     65,                 2.1721,                 1.1009,                0.98055,                0.71805,                0.64312,                0.64914,                0.20919,                 2.3689,                 1.4633,                 1.0279,              0.0007526,              0.0007526,              0.0007526
                     66,                 2.1457,                  1.045,                0.94804,                0.72559,                0.58586,                0.59817,                0.20209,                 2.3345,                 1.4773,                 1.0185,              0.0007328,              0.0007328,              0.0007328
                     67,                 2.0403,                  1.039,                0.98392,                0.74944,                0.60606,                0.62575,                0.20714,                 2.3346,                 1.4894,                 1.0151,               0.000713,               0.000713,               0.000713
                     68,                 2.1275,                 1.0238,                0.95319,                0.73195,                0.60682,                0.63811,                0.21093,                 2.3389,                 1.4891,                 1.0131,              0.0006932,              0.0006932,              0.0006932
                     69,                 2.0571,                 1.0479,                 1.0268,                0.74245,                0.61616,                0.63322,                0.21173,                 2.3552,                 1.4737,                 1.0167,              0.0006734,              0.0006734,              0.0006734
                     70,                 2.0169,                 1.0232,                0.95521,                0.73995,                0.60606,                0.63783,                0.21152,                 2.3466,                 1.4493,                 1.0187,              0.0006536,              0.0006536,              0.0006536
                     71,                  2.049,                0.99778,                 0.9685,                 0.7422,                0.62626,                0.64817,                0.21069,                 2.3568,                 1.4399,                 1.0198,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.9676,                0.95405,                 0.9513,                0.72066,                0.62544,                0.63536,                0.20655,                 2.3736,                 1.4674,                  1.022,               0.000614,               0.000614,               0.000614
                     73,                 2.0445,                 1.0451,                0.96533,                 0.6938,                0.60606,                0.61503,                0.20672,                 2.3841,                 1.4929,                 1.0235,              0.0005942,              0.0005942,              0.0005942
                     74,                 2.1009,                 1.0044,                0.97493,                0.67595,                0.61616,                0.60402,                0.20106,                  2.407,                 1.5077,                 1.0276,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.9897,                0.99998,                0.96402,                0.66876,                0.61616,                0.60577,                0.20274,                 2.4081,                 1.4864,                 1.0289,              0.0005546,              0.0005546,              0.0005546
                     76,                 2.1525,                0.98852,                0.94816,                0.69387,                0.62626,                0.62628,                0.20279,                 2.3897,                 1.4922,                 1.0281,              0.0005348,              0.0005348,              0.0005348
                     77,                 2.0451,                0.97983,                0.95394,                0.67232,                0.61111,                0.61822,                0.20116,                 2.3671,                  1.524,                 1.0242,               0.000515,               0.000515,               0.000515
                     78,                 2.0233,                 1.0043,                 1.0025,                0.75533,                0.54545,                0.60746,                0.20386,                 2.3445,                 1.5884,                 1.0198,              0.0004952,              0.0004952,              0.0004952
                     79,                 2.1199,                0.98365,                0.94545,                0.75767,                0.52112,                0.57707,                0.19882,                 2.3396,                 1.6702,                 1.0172,              0.0004754,              0.0004754,              0.0004754
                     80,                  1.962,                0.95782,                0.97082,                0.71841,                0.52525,                0.56216,                0.19358,                 2.3331,                 1.7113,                 1.0167,              0.0004556,              0.0004556,              0.0004556
                     81,                 2.0162,                0.99583,                0.95598,                0.68428,                0.56061,                0.57045,                0.19722,                 2.3302,                 1.7236,                 1.0169,              0.0004358,              0.0004358,              0.0004358
                     82,                 2.0158,                 1.0276,                0.97665,                0.68747,                0.54545,                0.54604,                0.19372,                 2.3186,                 1.6975,                 1.0164,               0.000416,               0.000416,               0.000416
                     83,                 2.0032,                0.99428,                0.96824,                 0.7114,                0.56022,                0.56173,                0.19297,                 2.3444,                 1.6939,                  1.022,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.9271,                0.92478,                0.96322,                0.71772,                0.56502,                0.55584,                0.18276,                 2.3834,                 1.6913,                 1.0289,              0.0003764,              0.0003764,              0.0003764
                     85,                 2.0592,                0.98792,                 1.0016,                0.70108,                0.55675,                 0.5553,                0.17972,                 2.4224,                 1.6736,                 1.0361,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.9713,                0.96512,                0.97472,                0.67608,                 0.5587,                0.55797,                0.17818,                 2.4405,                 1.6573,                 1.0408,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.9554,                 1.0035,                0.95128,                 0.6965,                0.56566,                0.57521,                0.18022,                   2.44,                 1.6288,                 1.0412,               0.000317,               0.000317,               0.000317
                     88,                 1.9838,                 0.9925,                0.92096,                 0.6953,                0.57576,                0.57718,                0.17785,                 2.4257,                 1.5813,                 1.0395,              0.0002972,              0.0002972,              0.0002972
                     89,                  2.041,                0.97306,                0.92243,                 0.7028,                0.55556,                0.56499,                0.17932,                 2.4189,                 1.5427,                 1.0381,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.9616,                0.96779,                0.94546,                0.68651,                0.56407,                 0.5765,                0.18263,                 2.4284,                 1.5308,                  1.039,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.9228,                0.99909,                0.97688,                0.68083,                0.60606,                0.59503,                0.19034,                 2.4349,                 1.5113,                 1.0393,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.9698,                 1.0439,                0.97598,                0.71494,                0.59596,                 0.6009,                0.19213,                 2.4359,                 1.4899,                 1.0391,               0.000218,               0.000218,               0.000218
                     93,                 1.7975,                 1.0185,                0.96665,                0.69588,                0.61248,                0.60879,                0.19235,                 2.4331,                 1.4773,                 1.0385,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.8763,                0.98035,                 1.0043,                0.69093,                0.63227,                 0.6254,                0.19721,                 2.4286,                  1.474,                 1.0367,              0.0001784,              0.0001784,              0.0001784
                     95,                 2.0049,                 1.3693,                0.96689,                 0.6823,                0.63995,                0.62581,                0.19714,                 2.4273,                 1.4676,                 1.0345,              0.0001586,              0.0001586,              0.0001586
                     96,                 2.1836,                 1.0804,                 0.9665,                0.68098,                0.64141,                 0.6344,                0.20104,                 2.4204,                 1.4663,                 1.0313,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.8835,                 1.1534,                 1.0005,                0.69527,                 0.6453,                0.63747,                0.20304,                 2.4116,                 1.4682,                  1.028,               0.000119,               0.000119,               0.000119
                     98,                 1.8334,                0.91791,                0.97926,                0.69986,                0.65657,                0.64002,                0.20258,                 2.4056,                 1.4731,                  1.026,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.9298,                0.98079,                 0.9591,                0.70392,                0.64841,                0.64047,                0.20557,                 2.4026,                 1.4763,                 1.0249,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.9861,                0.99302,                 1.0226,                0.70003,                0.64646,                0.64205,                 0.2072,                 2.4002,                 1.4785,                 1.0243,               5.96e-05,               5.96e-05,               5.96e-05
