                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.7641,                0.69802,                0.86316,                0.93049,                0.92119,                0.95059,                  0.474,                 1.7135,                0.69977,                0.86318,               0.000713,               0.000713,               0.000713
                     67,                 1.7714,                 0.6945,                0.86603,                0.93809,                0.91874,                0.95333,                0.46786,                 1.7153,                0.68876,                  0.862,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.7653,                0.69607,                0.86449,                0.93671,                0.93306,                0.95593,                0.46631,                 1.7408,                0.70386,                0.86557,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.7819,                0.70217,                0.86487,                0.91565,                0.90892,                0.94165,                0.47154,                 1.7094,                0.70592,                0.86169,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.7474,                 0.6896,                0.86471,                0.93138,                0.91451,                0.94631,                0.47125,                 1.7429,                0.70199,                0.86691,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.7449,                0.68932,                0.86361,                0.92402,                0.91302,                0.94824,                0.46724,                 1.7458,                0.68998,                0.86434,               0.000614,               0.000614,               0.000614
                     72,                 1.7339,                0.68495,                0.86371,                0.93729,                0.91338,                 0.9497,                0.47671,                 1.7196,                0.68248,                0.86377,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.7278,                0.68669,                0.86578,                0.91307,                0.90483,                0.94298,                0.46104,                 1.7495,                0.69326,                0.86715,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.7285,                0.68775,                0.86225,                0.90935,                0.90808,                0.94521,                0.46364,                 1.7432,                0.69665,                0.86519,              0.0005546,              0.0005546,              0.0005546
                     75,                  1.726,                0.68086,                0.86416,                0.93858,                 0.9283,                0.95465,                0.46267,                 1.7224,                0.68529,                 0.8649,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.7217,                0.68328,                0.86499,                0.93459,                0.91445,                0.94851,                0.46896,                 1.7229,                0.69368,                 0.8645,               0.000515,               0.000515,               0.000515
                     77,                 1.7227,                 0.6801,                0.86083,                0.93847,                  0.923,                0.95021,                0.47154,                 1.7075,                0.69445,                0.86319,              0.0004952,              0.0004952,              0.0004952
                     78,                  1.717,                 0.6799,                0.85935,                0.93226,                0.92878,                0.95416,                 0.4715,                  1.706,                 0.6815,                0.86292,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.7044,                0.67692,                0.86092,                0.93364,                0.91675,                0.94877,                0.46387,                 1.7283,                0.68706,                0.86561,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.6924,                0.67114,                0.85847,                0.93394,                0.91165,                0.94943,                0.47145,                 1.6936,                0.69313,                0.86005,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.6936,                0.66804,                 0.8607,                0.92739,                0.91049,                0.94397,                0.46566,                 1.7343,                0.69773,                0.86644,               0.000416,               0.000416,               0.000416
                     82,                 1.7012,                 0.6675,                0.86137,                0.93456,                0.92774,                0.95395,                0.47059,                 1.7155,                0.68336,                0.86326,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.6778,                0.66255,                0.86024,                0.93491,                0.92012,                0.95023,                0.46243,                 1.7217,                0.69071,                0.86399,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.6841,                0.66554,                0.86255,                0.93291,                0.91867,                0.94941,                0.46118,                 1.7431,                0.69049,                0.86806,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.6858,                0.66807,                0.85657,                 0.9417,                0.91723,                0.95348,                0.46241,                 1.7325,                0.69227,                0.86414,              0.0003368,              0.0003368,              0.0003368
